text,label
tbh thissss is lit 🔥,Positive
omg it was normalllll 🤷,Neutral
tbh thisssss is fatnastic 🔥,Positive
ngl this is trash 😡,Negative
idk this is perfect 🥳,Positive
highkey it was okay 🫤,Neutral
great job 👏 totally helfpul,Sarcastic
idk it was fine 🙂,Neutral
tbh this is oslid 🤩,Positive
fr it was okay 🙂,Neutral
lowkey thisss is solid 🥳,Positive
lowkeyyyy this is awesmoe 😄,Positive
lol thisssss is great ✨,Positive
lowkeyyyy this is lit 🥳,Positive
omg this is worsttttt 😞,Negative
tbh it was fine 🙂,Neutral
omg it was standard 🤷,Neutral
lowkey this is solid 😄,Positive
best everrrrr 🙃 totallyyyyy helpfulll,Sarcastic
ngl this is afwul 😭,Negative
fr thisss is trashhhhh 😡,Negative
love thatttt for me 🙃 totallyyyyy helpful,Sarcastic
best ever 👏 totally helpful,Sarcastic
lowkey it was onrmal 😐,Neutral
justtttt perfecttt 😒 totally helpfulll,Sarcastic
idk it was okayyyy 🫤,Neutral
highkey it was fine 🫤,Neutral
bro this is amaznig 🔥,Positive
idk this is fantastic 😄,Positive
bro this is fantastic 🥳,Positive
ngl thissss is perfect 🥳,Positive
ngl this is awful 😡,Negative
lowkeyyy this is bad 😠,Negative
tbh it was fine 🤷,Neutral
yeah sure 🙄 totally hlepful,Sarcastic
fr thisss is trerible 😤,Negative
love that for me 😂 totallyyy helpful,Sarcastic
wow amazingggg 🙃 totally hlepful,Sarcastic
love thatttt for me 👏 totallyyyy helpufl,Sarcastic
lol this is greattt ✨,Positive
wow amzaingggg 🙄 totallyyy helpfulll,Sarcastic
idk this is amazing 😍,Positive
idk this is awfullll 👎,Negative
best everrr 😏 totallyyyyy helpful,Sarcastic
idk it was average 🙂,Neutral
idk this is great 🥳,Positive
lol this is solidddd 🥳,Positive
fr thissss is worstttt 😞,Negative
fr this is prefectttt 😄,Positive
idk it was okayyy 🙂,Neutral
idk thissss is soliddddd 🔥,Positive
bsetttt veerrrr 👏 totallyyyy ehlpful,Sarcastic
ngl this is perfect 😁,Positive
highkey thissss is bad 😒,Negative
olwkeyyy this is wrost 😤,Negative
great job 👏 totally helpful,Sarcastic
highkey thisss is fantastic 😍,Positive
lowkey thissss is pefrecttt 😁,Positive
ngl it was normalllll 🫤,Neutral
omg this is perfect 😍,Positive
highkey this is fantastic ❤️,Positive
fr it was standarddd 🙂,Neutral
best ever 🙃 totally helpfulll,Sarcastic
highkey this is perfect 🤩,Positive
love that for me 😂 totallyyyyy helpful,Sarcastic
omg this is amazing 😄,Positive
lwokey thisss is patehtic 💔,Negative
love that for me 🙄 totallyyyyy helpful,Sarcastic
love that for me 😒 totallyyyyy helpful,Sarcastic
love that for me 🙄 totallyyyyy heplfulll,Sarcastic
highkey thisss is great 🤩,Positive
eyahhh sure 🙃 ottally helpful,Sarcastic
love that for me 🙃 toatlly helpful,Sarcastic
lol it was onrmal 🙂,Neutral
just perfect 😒 totally helpful,Sarcastic
lowkey thisssss is pathetic 😡,Negative
idk this is worst 😠,Negative
lol it was average 🙂,Neutral
tbh this is eprfect ✨,Positive
highkey this is annoiyng 👎,Negative
lol this is annoying 👎,Negative
omg thissss is awfulllll 😭,Negative
ngl it was fine 🤷,Neutral
bro thisssss is patheticcc 😠,Negative
omg it was fine 🤷,Neutral
wow amazing 🙄 totally helpfulll,Sarcastic
idk this is worst 💔,Negative
omg it was aevrage 🫤,Neutral
highkeyyy it was regularrr 🫤,Neutral
lowkey this is annoyinggggg 😡,Negative
ngl this is perfecttttt 🥳,Positive
tbh this is terirble 😞,Negative
tbh it was stadnard 🤷,Neutral
idk thissss is amazing 🥳,Positive
ngl thsiss is amazing ✨,Positive
wow amazinggg 😏 totally helpful,Sarcastic
bestttt ever 🙃 totally helpfulll,Sarcastic
lowkey this is awfullll 😭,Negative
ngl thisss is amazing 😍,Positive
omg this is awful 💔,Negative
ngl this is fantastic 😁,Positive
lowkey thisss is terribleeeee 😤,Negative
omg this is aweosme ❤️,Positive
omg this is perfecttt ✨,Positive
great job 👏 totallyyyyy helpful,Sarcastic
ngl thissss is terrible 😤,Negative
idk thisss is lit ❤️,Positive
tbh this is lit 😍,Positive
omg it was regular 🤷,Neutral
fr it was regular 🫤,Neutral
ngl this is pathetic 😭,Negative
idk it was regular 🫤,Neutral
justtt perfect 😒 totally helpfulll,Sarcastic
